month,year,fuente,sentimiento,response,empresa,texto
6,2020,noticia,neutral,2,.,"Según datos de la empresa de Recursos Humanos Randstad, en abril los sueldos anotaron una caída de 0,8% en 12 meses, mientras que en relación a marzo retrocedieron 1,3%.

En este aspecto, de acuerdo al estudio “Rentas no gerenciales” de Randstad, el cual recoge información de las remuneraciones de perfiles comerciales, administrativos y operativos de los diferentes sectores productivos del país, los salarios más elevados recaen en analistas financieros y de control y gestión para un perfil con 3 a 8 años de experiencia en la región Metropolitana.

Los sueldos de esos empleados tuvieron un pequeño crecimiento de 3 puntos porcentuales (pp) al inicio de 2020, llegando a 1 millón de pesos bruto en promedio mensual.

Le siguen de cerca analistas comerciales y especialistas de marketing, con rentas entre 850 y 900 mil pesos bruto al mes, mientras que los analistas contables, cuya remuneración bordea los 800 mil pesos, tuvieron una caída de 16 puntos en comparación a 2019.

Al respecto, Francisco Torres, director de Staffing & Outsourcing de Randstad, lamenta que “Si a inicios de 2020 podríamos haber vaticinado que algunas posiciones no gerenciales tenían posibilidades de experimentar una variación positiva, especialmente aquellas ligadas a tecnología y ventas, la emergencia sanitaria frenó esa posibilidad”."
6,2020,noticia,negativo,0,.,"Economista jefa del FMI advierte que la pandemia puede traer ""secuelas importantes"" globalmente
La crisis provocada por la pandemia de coronavirus puede dejar “secuelas importantes” en la economía global, advirtió este viernes la economista jefa del Fondo Monetario Internacional (FMI), Gita Gopinath.

“Hay una gran incertidumbre sobre la recuperación”, indicó la economista en un video difundido en el marco del 7º Foro Anual de Política Monetaria de Asia.

El FMI debe publicar el 24 de junio una actualización de sus previsiones, “que probablemente van a ser peores” a las cifras publicadas en abril, advirtió Gopinath.

La economista indicó que uno de los factores de preocupación es el ritmo de la recuperación. “Un gran número de variables apunta a que puede haber secuelas importantes”, agregó.

En abril, el FMI estimó que la economía mundial iba a entrar en recesión este año con una contracción del PIB global de 3% que en Latinoamérica llegará hasta el 5,2%.

Entonces, la institución multilateral advirtió que la recesión global podría ser más intensa si el coronavirus seguía activo en el segundo semestre o si se produce una segunda ola.

En estas previsiones, el FMI pronosticó una recuperación en 2021 con un crecimiento de 5,8%.

El Covid-19 ha dejado al menos 421.691 muertos en todo el mundo desde que fue detectado en diciembre en China, según un balance de la AFP a partir de fuentes oficiales. "
6,2020,noticia,negativo,0,.,"Wall Street anota su peor semana desde marzo pese al rebote de este viernes Los mercados siguen con preocupación una posible ola de contagios en las principales ciudades de Estados Unidos.

Wall Street recobró fuerzas este viernes y el Dow Jones de Industriales, su principal indicador, ganó un 1,90% tras vivir en la víspera su peor sesión desde la debacle bursátil de marzo por el temor a una segunda ola de covid-19 en EE.UU. y los sombríos pronósticos de la Reserva Federal sobre la economía. Al término de las operaciones en la Bolsa de Nueva York, el Dow Jones subió 477,37 puntos y se situó en 25.605,54 enteros, impulsado por las grandes cotizadas Boeing (11,48 %) y Dow Inc (5,04 %), que ayer fueron precisamente las más perjudicadas.
El selectivo S&P 500 ascendió un 1,31 % o 39,21 puntos, hasta 3.041,31 unidades; y el índice compuesto del mercado Nasdaq, que aglutina a las tecnológicas más importantes del mercado, repuntó un 1,01 % o 96,08 puntos, hasta 9.588,81 unidades. Por sectores, las ganancias estuvieron encabezadas por el inmobiliario (3,16 %), el financiero (3,01 %) y el energético (2,71 %), mientras que solo acabaron el rojo las empresas de servicios públicos (-0,22 %) y de bienes esenciales (-0,18 %). Tras el desplome del jueves, los indicadores del parqué neoyorquino han recuperado algo de terreno pero despiden esta semana, la peor desde marzo según los registros, con pérdidas acumuladas: del 5,55 % en el Dow Jones, del 4,78 % en el S&P 500 y del 2,30 % en el Nasdaq. Wall Street hoy apostó por las compras y aprovechó el momento, pero sigue preocupado por la evolución de la pandemia en Estados Unidos, donde ya hay más de 2 millones de casos, 111.000 fallecimientos y nuevos contagios en estados que habían comenzado a aliviar sus restricciones tras el parón de actividad."
6,2020,noticia,neutral,2,.,"El dólar revirtió las bajas iniciales de la sesión de este viernes y subió $6,50, en el mercado cambiario local. La divisa estadounidense, que sumó su cuarto incremento consecutivo, finalizó la jornada en puntas de $794,0 vendedor y $793,70 comprador. Así, el billete verde acumuló un fuerte avance frente a la moneda local de $25.
Sebastián Espinosa, Analista de Mercados de XTB Latam, afirmó que que en medio de un cierre de semana con mucha incertidumbre, ""seguimos manteniendo un piso de corto plazo en los $780, sin descartar una recuperación en el apetito por riesgo que pueda levantar nuevamente las bolsas y las materias primas"". De darse este escenario, ""podría llevar al cobre a registrar nuevos máximos y al tipo de cambio a atacar nuevamente el piso de $760"". De todas formas, el analista aseguró que ""la visión en el medio plazo es de un peso debilitado y con probables acercamientos nuevamente a los $800. Todo depende de la actuación del cobre y del comportamiento del coronavirus en las próximas semanas"". Luis Alberto Reyes, analista de Mercados G. indicó que ""se espera movimientos alcistas para la próxima jornada. La paridad USDCLP dependerá fuertemente del comportamiento del metal rojo y de la depreciación del dólar tras las protestas y la segunda ola. Se ve una resistencia para el dólar peso en $802,80 y un soporte en 786,80 para la próxima jornada""."
6,2020,noticia,neutral,2,.,"Dos sociedades del grupo Bethia, Axxion y Betlan Dos, informaron este viernes que convocaron a juntas de accionistas para acordar la venta de parte de los títulos que poseen de Latam Airlines, compañía que se acogió recientemente al capítulo 11 de la ley de quiebras de EE.UU.. Según lo informado a la Comisión para el Mercado Financiero, las sociedades del holding ligado a la familia Heller Solari llevarán a cabo sus respectivas reuniones el 30 de junio próximo.
En el hecho esencial de Betlan Dos se indica que la cita tiene por objetivo abordar ""la autorización para enajenar acciones de propiedad de la filial Inversiones HS SpA en Latam Airlines Group, que representan el 50% o más del activo de dicha filial, lo que representa más del 20% del activo de Betlan Dos"". En el documento de Axxion, en cambio, se detalla que en la reunión se buscará tratar ""la autorización para enajenar acciones de propiedad de la sociedad en Latam Airlines Gropu que representan el 50% o más del activo de Axxion"". Cabe recordar que en diciembre de 2019 ambas sociedades ya habían liquidado hasta el 50% de los activos que tenían en ese momento en Latam en el marco de la OPA por la cual Delta ingresó a la compañía. En ese momento Bethia redujo su participación en la aerolínea controlada por la familia Cueto de 5,51% a 4,2%."
6,2020,noticia,negativo,0,.,"Economía del Reino Unido se desploma 20,4% en abril: Es la caída más fuerte registrada Se trata de una caída récord, que se produce tras la contracción del 5,8% en marzo precisó la Oficina Nacional de Estadísticas.
El Producto Interno Bruto (PIB) del Reino Unido cayó 20,4% en abril con respecto al mes anterior, debido al confinamiento decretado para frenar la propagación de la pandemia de coronavirus, anunció el viernes la Oficina Nacional de Estadísticas (ONS) británica. Se trata de una caída récord, que se produce tras la contracción del 5,8% en marzo, precisa la ONS. Abril fue el primer mes completo de confinamiento, que se inició el 23 de marzo y prácticamente paralizó de golpe la actividad económica del país, el segundo más castigado del mundo por la pandemia, con más de 41.000 muertos debido al coronavirus. ""El retroceso del PIB en abril es el más fuerte que jamás ha registrado el Reino Unido, más de tres veces que el mes anterior y casi 10 veces más que la caída más marcada antes de covid-19"", señaló Jonathan Athow, estadístico de la ONS. ""En abril, la economía se ha contraído alrededor de 25% comparado con febrero"", añadió. Las restricciones impuestas para contener la propagación del virus se han ido levantando progresivamente y la mayoría de comercios, excepto pubs y restaurantes, reabrirán a partir del lunes."
6,2020,noticia,negativo,0,.,"Producto de la crisis provocada por la pandemia del Covid-19, la población en condiciones de pobreza extrema en América Latina y el Caribe podría llegar a 83,4 millones de personas en 2020, lo que implicaría un alza significativa en los niveles de hambre.

Esta información fue dada a conocer por la Comisión Económica para América Latina y el Caribe (Cepal) y la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO).

Ambos organismos presentaron un informe conjunto titulado “Cómo evitar que la crisis del Covid-19 se transforme en una crisis alimentaria: Acciones urgentes contra el hambre en América Latina y el Caribe”, en el que proponen acciones urgentes para enfrentar el alza del hambre producto de la pandemia en los países de la región.

Los efectos de la crisis ya son visibles en los sistemas alimentarios: la vulnerabilidad de los trabajadores ha crecido y los precios internos de los alimentos están subiendo más que el de otros productos de la canasta básica, según el Índice de Precios al consumidor (IPC).

Por el aumento del desempleo y la caída en los ingresos, millones de personas no están pudiendo adquirir suficientes alimentos; y muchas otras están teniendo que optar por alimentos más baratos y de menor calidad nutricional, indicó la Cepal y la FAO.
La situación en Chile

Julio Berdegué, representante de la FAO en la región, participó de un seminario virtual que contó con la presencia del ministro de Agricultura, Antonio Walker. Ahí, sostuvo que aumentará el número de chilenos que “no tendrán cómo parar la olla”.

Berdegué fue enfático en advertir que al menos un millón de ciudadanos del país podría pasar hambre.

En el seminario titulado “Seguridad alimentaria en tiempos de pandemia”, el representante de la FAO reiteró que los chilenos podrían comenzar a comer alimentos con bajo aporte nutricional, optando por dietas menos diversas y más baratas.

“La seguridad alimentaria es un derecho humano”, subrayó."
6,2020,noticia,negativo,0,.,"El fabricante sueco de vehículos pesados Volvo Group, uno de los líderes mundiales del sector, anunció el martes su intención de suprimir 4.100 empleos administrativos en el mundo durante el segundo semestre de 2020, debido al impacto económico de la pandemia de coronavirus.

“La epidemia de coronavirus y las medidas adoptadas a nivel mundial para contenerla provocaron una situación en el mercado con graves repercusiones en nuestro sector”, explicó en un comunicado Martin Lundstedt, director general del grupo con sede en Göteborg, en el suroeste de Suecia.

Los 4.100 puestos afectan, según Volvo, a trabajadores administrativos (“white-collar”, cuello blanco), el 15% de los cuales son consultores. Unos 1.250 son empleados en Suecia, según el grupo, que no precisa los otros países afectados.

Sin embargo, apunta el fabricante, “la necesidad de reducir los efectivos habría sido mucho mayor sin los diversos programas de apoyo gubernamentales que permiten el desempleo parcial y otras medidas similares”.

A finales de marzo, el grupo empleaba a unas 99.000 personas (incluidos trabajadores temporales y consultores).

La compañía, que enfrentaba ya una disminución de su actividad antes de la crisis, redujo el número de trabajadores en casi 5.000 entre marzo de 2019 y marzo de 2020, debido a la desaceleración en los ritmos de producción.

El número de empleados de oficina y administrativos se recortó en alrededor de 2.300 en el mismo periodo debido, según el grupo, “a una reducción del número de consultores contratados”.

Duramente afectado por la crisis sanitaria, Volvo Group anunció en marzo la suspensión de sus actividades en la mayoría de las plantas situadas en 18 países, después de haber comunicado el mismo mes el paro de la producción en Bélgica y en Francia en Renault Trucks (propiedad del grupo sueco). La actividad se ha vuelto a retomar progresivamente desde entonces.

Durante la publicación de sus resultados en el primer trimestre, la empresa ya había retirado sus previsiones para 2020 y anunciado un beneficio dividido por dos y un volumen de negocio en retroceso del 15%."
6,2020,noticia,negativo,0,.,"Según datos de la Superintendencia de Pensiones, los cotizantes de las AFP registraron una caída histórica durante abril, con 66.488 aportantes menos.

Lo anterior se tradujo en un retroceso de 1,2% anual, con 5,52 millones de cotizantes.

En detalle, se trata de la mayor caída en casi 18 años, marcada por los efectos de la crisis sanitaria en el empleo y las secuelas que ya había dejado la crisis social en 2019.

La baja de cotizantes podría seguir aumentando, según los expertos que prevén también un incremento de las lagunas previsionales.

“Los próximos meses mostrarán caídas más significativas, a partir de los datos que están exhibiendo las encuestas de empleo (…) que muestran resultados dramáticos para la ocupación”, dijo la economista Cecilia Fuentes a diario El Mercurio.

El investigador de Clapes UC, Juan Bravo, añadió al matutino que “las cifras de destrucción de empleos con cotizaciones se profundizarán (…)” producto de la propagación del coronavirus, que está generando una crisis económica comparable con la de 1982.

De acuerdo a las últimas cifras difundidas por el Instituto Nacional de Estadísticas (INE), la tasa de desocupación nacional es de 9,0%. Se trata del registro más alto de los últimos 10 años, de cuando en agosto de 2010 este indicador anotó 8,4%."
6,2020,noticia,negativo,0,.,"En la víspera de un nuevo Informe de Política Monetaria del Banco Central que se dará a conocer este miércoles, los economistas que integran el Grupo de Política Monetaria de la Universidad de Chile abordaron el escenario macroeconómico del país.

Como definición principal, recomendaron que la tasa de interés se mantenga por un periodo extendido en su mínimo técnico actual, de 0,5%, tomando en cuenta las crecientes presiones deflacionarias que se han ido registrando por una disminución del consumo, asociada al desempleo.

Justamente en el comunicado de la reunión mensual proyectan que la destrucción de empresas y puestos de trabajo podría prolongar los efectos de la crisis en hasta dos años más, antes de retomar una senda de reactivación económica.

Pese a que también se hace un énfasis en la alta volatilidad del escenario para hacer proyecciones, el gerente general de Gémines, Tomás Izquierdo, anticipó que las cifras macroeconómicas aún están viendo correcciones a la baja, y no mejorarán hasta conocer algún signo de contención del virus.Un factor que fue evaluado positivamente en la reunión fue el acuerdo por el Plan Económico de Emergencia, destacando que esta amplia acción fiscal da mayores certezas respecto a una contención de los efectos de la crisis.

Aún así, el académico de la Universidad de Los Andes, Carlos Budnevich, sostuvo que es fundamental consolidar un acuerdo de responsabilidad respecto a comprometer una reducción de la deuda pública."
6,2020,noticia,negativo,0,.,"El PIB de Perú registró una caída histórica de 40,49% interanual en abril por la semiparálisis de su economía causada por el drástico confinamiento impuesto por la pandemia de Covid-19, informó este lunes el gobierno de dicho país.

Con esta caída “la producción nacional en el período enero-abril de 2020 disminuyó en 13,10% y durante los últimos doce meses, mayo 2019-abril 2020, en -2,63%”, indicó el Instituto Nacional de Estadística e Informática (INEI).

La economía peruana, que en la última década tenía de las más altas tasas de crecimiento en América Latina, ya había encajado una contracción en marzo cuando retrocedió 16,26% por la emergencia sanitaria y confinamiento vigentes desde el 16 de marzo.

El INEI señaló que la disminución de 40,49% en abril “expresa el desempeño negativo de la mayoría de sectores productivos, incidiendo principalmente comercio, manufactura, construcción, minería e hidrocarburos, transporte, alojamiento y restaurantes y servicios prestados a empresas”.

“La contracción de la producción nacional es debido a los efectos de la declaración del Estado de Emergencia Nacional, que dispuso el aislamiento social obligatorio (cuarentena) desde el 16 de marzo de 2020 a consecuencia del brote del covid-19, aprobando una serie de restricciones diseñadas para proteger al país contra la propagación del coronavirus”, remarcó el INEI.

La semiparalización de la economía, que funcionó al 44% de su capacidad entre el 16 de marzo hasta el cierre de mayo, “incidió desfavorablemente en la oferta productiva y en los principales componentes de la demanda interna”, señaló el INEI.

El presidente peruano, Martín Vizcarra, aludió al desplome de la economía durante una rueda virtual de prensa cuando se cumplen 92 días de cuarentena.

“Al aplicarse una cuarentena estricta como medida inicial para enfrentar la pandemia, sabíamos que se afectaría la economía. En abril la actividad económica trabajó al 44% de su potencial; pero desde mayo, con el reinicio gradual de algunos sectores, entramos a un franco proceso de reactivación de la economía”, aseguró.
Cifras en rojo

El confinamiento dejó sin empleo a dos millones de peruanos, había dicho la ministra de Economía y Finanzas, María Antonieta Alva, a fines de mayo.

La caída de ingresos se reflejó en abril en las ventas minoristas, que cayeron 66,35%. A su vez la demanda externa disminuyó en 49,38%, por las menores exportaciones.

Los sectores productivos que acumularon el 82% del desplome de abril fueron hoteles y restoranes que cayó 95%, construcción 89,72%, transporte 69%, pesca 57,82%, manufactura 54,91%, comercio 65,41% y electricidad 25,58%, entre otros.

La minería, uno de los motores de la economía peruana, se contrajo en 42,29% por la menor producción de metales preciosos como oro (53%), plata (73%) y cobre 35%). Perú es uno de los mayores productores mundiales de esa trilogía de metales.

El sector telecomunicaciones es uno de los que tuvo un aterrizaje suave en medio del colapso de la producción, con una caída de 1,62%. Ello se explica por el aumento de los servicios de internet y televisión por suscripción, telefonía y transmisión de datos que el confinamiento alentó en la población.

Por otro lado, el sector financiero y de seguros resistió a pie firme el embate del nuevo coronavirus con un incremento del 4,6% de la mano del aumento de depósitos.

Con el resultado de abril, Perú acumula dos meses consecutivos de caídas en su producción. El país andino había completado hasta marzo 127 meses de crecimiento continuo.
Larga cuarentena

Desde el inicio de la cuarentena, hace 13 semanas, el gobierno enfatizó que antes de privilegiar a la economía había que proteger a la población.

A pesar de la cuarentena, Perú es el segundo país de la región con más casos confirmados de Covid-19, que bordean los 230.000 entre sus 33 millones de habitantes. Las muertes superan las 6.800.

En el primer trimestre de 2020, el PIB de Perú retrocedió 3,39%.

Ahora Perú fijó hasta el 30 de junio la cuarentena, lo que la convertirá en una de las más prolongadas del mundo, con casi 110 días.

Para paliar la crisis Perú aplicó una serie de medidas como un plan de bonos a más de 6,5 millones de hogares, que supone un 14,5% del PIB.

La economía peruana había crecido 2,16% en 2019, su menor tasa en una década.

Antes de la covid-19 Perú proyectaba para 2020 un crecimiento de 4,0%."
6,2020,noticia,negativo,0,.,"El Servicio Nacional del Consumidor (Sernac) informó este lunes que cinco empresas del retail concentran la mayoría de los reclamos ligados a las compras online, los cuales se han incrementado durante la crisis sanitaria.

El Servicio sostuvo que estas empresas han presentando un “incremento extraordinario” de quejas en relación al resto del mercado; y también respecto de su propio comportamiento histórico durante eventos como CyberDay, CyberMonday y Black Friday en pasados años.

Al comparar la evolución específica sólo de los reclamos relacionados con retardo en la entrega de estas cinco empresas, desde marzo a mayo 2020, ellas concentran más de la mitad (54%) de todos los reclamos, aumentando en más de 10 veces (1.100%) su volumen.
Desde marzo a mayo, el Sernac ha recibido cerca de 37.400 reclamos en contra del comercio electrónico, un 216% más que en el mismo período del año pasado donde los casos sumaban alrededor de 11.850.
El detalle de las empresas y los reclamos

Del total de los reclamos recibidos desde marzo a mayo de este año, un 22,8% se concentran en Falabella, un 11,4% en contra de Ripley, un 6,1% en Paris, un 5,4% en Sodimac y un 5,1% en contra de Lider.

Es decir, entre estas cinco empresas concentran el 50,7% de los reclamos durante este período. No obstante, se debe considerar que el orden del ranking puede corresponder a la mayor participación de mercado y aumento de transacciones.

Los principales reclamos se refieren a la demora en los despachos, en algunos casos, hasta más de un mes; falta de información y dificultades para contactar a las empresas.

El director del Sernac, Lucas Del Villar, señaló que “es entendible que en una primera etapa las empresas hayan tenido problemas logísticos producto de la pandemia, pero ya han pasado tres meses y ya no puede ser excusa para cumplir pisos mínimos como responder el teléfono a los consumidores, informarles si el despacho tiene demora y ofrecer plazos que se puedan cumplir”.

De los reportes de reclamos, los consumidores también se quejan de que los productos que recibieron no son lo que pidieron, en cuyo caso las empresas deben responder retirándolos del domicilio, entregando el producto que por el que el consumidor pagó u ofrecer alternativas equivalentes, recalcó la autoridad.

Del Villar agregó que los consumidores en su mayoría están adquiriendo productos que necesitan en el contexto del teletrabajo, como computadores, accesorios para los niños como materiales de estudio o manualidades, o alimentación, “por lo tanto el plazo en que la empresa se compromete es importante que lo cumpla o la frustración será mayor”.

“Si una empresa ofrece un plazo que sabe que no va a cumplir, se produce competencia desleal porque el consumidor la elegirá por sobre otra que ofrece un plazo más extenso, pero que sí va a cumplir”, dijo el director del Sernac.

Por último, Del Villar recalcó que “es de esperar que las empresas ajusten sus prácticas ahora y sin necesidad de largos procesos judiciales, de lo contrario, tendremos que tomar las acciones necesarias para resguardar los derechos de los consumidores”."
6,2020,noticia,neutral,2,.,"El Covid-19 ha afectado de forma importante a la economía nacional, obligando a las diferentes industrias a reposicionarse en el actual escenario.

Una de ellas es el sector inmobiliario, donde los arriendos -uno de sus principales activos de inversión- han debido adecuarse para seguir funcionando.

YapoData, centro de estudios de Yapo.cl, analizó los cambios de precios de casas y departamentos en el Gran Santiago durante el presente año. Dentro de las comunas que presentaron mayores disminuciones destacan La Florida, Ñuñoa, Las Condes y Vitacura.

En ellas, se observaron bajas de 18%, 23%, 31% y 47%, respectivamente, en relación a su costo mensual durante el primer trimestre de este año, cerrando sus valores promedio en $353.000, $475.000, $785.000 y $1.152.000.

“Son comunas que se caracterizan por tener una importante demanda residencial, por lo que el precio del arriendo de este tipo de viviendas venía en alza. (…) Actualmente, al haberse estancado, se ha hecho un ajuste en sus precios para estimularlas nuevamente”, explicó Claudia Castro, gerente de Clasificados de Yapo.cl.

Las comunas que han visto una mayor baja en su valor mensual han sido aquellas que no se caracterizan por una fuerte demanda por departamentos. Resaltan Colina y Lo Barnechea, las cuales tuvieron disminuciones de 21% y 36%, respectivamente.
Restructuración en el valor de departamentos

Si bien los departamentos han presentado bajas de precio moderadas, este efecto se ha introducido en algunas de las comunas más demandadas, reposicionando la cotización en ellas.

Tal es el caso de Providencia, donde en el primer trimestre este tipo de propiedad tenía un costo promedio de 493 mil pesos.

Actualmente, dicha cifra alcanza los 450 mil pesos, un 12% menos si se compara con los precios obtenidos el año pasado.

Estación Central y Recoleta también han tenido disminuciones en este sentido, donde han presentado bajas equivalentes a un 4% respecto al 2020, cerrando en un valor de arriendo de 270 y 337 mil pesos, respectivamente.

En el informe también destacan Santiago Centro, Ñuñoa y Las Condes, tres de las comunas más demandadas, también han tenido bajas en su valor.

En lo que se lleva del segundo trimestre, la primera ha tenido una disminución de un 6% en comparación al mismo periodo del año pasado, alcanzando promedio de $307.000. Ñuñoa tuvo un baja de un 13%, teniendo un valor medio por arriendo equivalente a $412.000, mientras que Las Condes registró un descenso de un 20%, cerrando en $500.002.

“Actualmente hay propietarios y corredoras que han optado por hacer promociones de descuento en los tres primeros meses de arriendo. Esta acción se realiza estipulando que la situación económica asociada a la pandemia se estabilizará en ese periodo de tiempo. Dichas ofertas también inciden en la baja de precio”, comentó la gerente de Clasificados de Yapo.cl."
6,2020,noticia,neutral,2,.,"La empresa multinacional chilena Carozzi está a un paso de concretar la compra de Bresler, buscando entrar así en el rubro de los helados.

Actualmente la marca está en manos de Unilever y su producto más reconocido en el mercado es Magnum, un helado de crema cubierto de chocolate.

Las compañías ya llegaron a un acuerdo de compra, el cual debería concretarse a mediados del próximo mes.

A través de un hecho esencial, el gerente general de empresas Carozzi, Sebastián García Tagle, precisó que el negocio contempla la adquisición “de la totalidad de los activos de Unilever para la elaboración, fabricación y comercialización de helados en Chile”.

La marca de helados Melevi también estará incluida en la compra.

De concretarse la transacción, Carozzi entrará a competir directamente con Savory de Nestlé en la venta de este tipo de alimentos.

Por último, la multinacional chilena sostuvo que esto le permitirá ingresar “a nuevos mercados y desarrollar nuevos negocios”."
6,2020,noticia,neutral,2,.,"Pese a cerrar con un retroceso de 0,28% en su cotización al contado, en la Bolsa de Metales de Londres, el precio del cobre completó este viernes una cuarta semana consecutiva al alza.

El metal rojo acumula un avance total de 12% en dicho periodo, que lo mantiene en 2 dólares con 64 centavos la libra, su valor más alto desde febrero de este año.

Lo más determinante en la cotización ha sido la reapertura de la economía en China, cuyas proyecciones macroeconómicas han sido más optimistas de lo que esperaba el mercado.

Así lo explicó el analista de Alpari Research, César Valencia, estimando que de mantenerse el buen desempeño del gigante asiático, el cobre podría recuperar valores previos a la crisis."
6,2020,noticia,neutral,2,.,"Con la entrega de más de $6.732 millones, el Instituto de Desarrollo Agropecuario (Indap) ha puesto en marcha un plan de ayuda dirigido a más de 46.800 pequeños agricultores a lo largo del país, para que puedan enfrentar de mejor manera la emergencia generada por la sequía y la pandemia de coronavirus.

Los recursos han sido distribuidos a través del Fondo de Operación Anual (FOA), con que este servicio del agro apoya a los productores agrícolas que forman parte del Programa de Desarrollo Local (Prodesal), implementado en 258 comunas rurales del país por medio de convenios con 254 municipalidades, una universidad y tres agentes privados.

Al 31 de mayo pasado se habían distribuido $3.800 millones, equivalentes al 57,5% del total de los recursos. En promedio, cada productor recibirá un aporte de $115.000, que serán destinados a la adquisición de productos e insumos como alimento para ganado y abejas, fertilizantes, compost y sustratos.

También se considera la compra de implementos de riego (cintas, polietileno), material para cercos, estanques acumuladores de agua y diverso tipo de herramientas.

Equipos para la aplicación de agroquímicos, materia prima para la producción de artesanía e implementación para emprendimientos de turismo rural, son otros de los fines que tendrán estos recursos. Existen más de $1.035 millones comprometidos para una pronta entrega."
6,2020,noticia,negativo,0,.,"El confinamiento contra el coronavirus le costó al Reino Unido una quinta parte de su PIB en abril, según datos oficiales difundidos este viernes, pero la economía británica podría empezar a recuperarse con la flexibilización de las restricciones.

El Producto Interno Bruto (PIB) británico cayó 20,4% en abril respecto del mes anterior, anunció la Oficina de Estadísticas Nacionales (ONS). Es una caída récord que se suma a la contracción del 5,8% registrada en marzo.

Abril fue el primer mes completo de confinamiento, que se inició el 23 de marzo y prácticamente paralizó la actividad económica del país, el segundo más castigado del mundo por la pandemia, con más de 41.000 muertos debido al coronavirus.

“El retroceso del PIB en abril es el más fuerte que jamás ha registrado el Reino Unido, más de tres veces que el mes anterior y casi 10 veces más que la caída más marcada antes de la Covid-19″, señaló Jonathan Athow, estadístico de la ONS.

Respecto a febrero, la economía se contrajo alrededor del 25%, añadió.

En opinión de Andrew Wishart, economistas de la firma Capital Economics, el golpe económico para el país es mayor que en la Gran Depresión de 1929 y la crisis financiera global de 2008.

Y el primer ministro, Boris Johnson, reconoció en un mensaje trasmitido por varias televisiones: “Nunca nos ha cabido la menor duda” de que la pandemia “iba a tener efectos económicos devastadores”.

Pero el Reino Unido está levantando progresivamente las restricciones impuestas para contener la propagación del coronavirus y la mayoría de comercios, -excepto pubs, restaurantes, hoteles o salones de peluquería- podrán volver a abrir sus puertas a partir del lunes en Inglaterra.
Recesión y Brexit

Tras un retroceso del PIB del 2% en el primer trimestre de este año respecto al cuarto de 2019, el país se prepara para entrar en una profunda recesión: la economía podría caer 35% en el segundo trimestre según la Oficina de Responsabilidad Presupuestaria (OBR), organismo público a cargo de las previsiones gubernamentales.

Pese a los esfuerzos del gobierno para preservar el empleo, cubriendo el 80% del salario de los empleados que no fueron despedidos, el parón económico está provocando un alud de supresiones de puestos de trabajo.

Desde el deprimido sector del transporte aéreo hasta los fabricantes de automóviles, se suceden casi a diario los anuncios de recortes de plantillas por decenas de miles en las empresas del país.

El ejecutivo ha tomado además otras medidas para intentar amortiguar el choque, como multimillonarios préstamos garantizados para unas empresas que tal vez no estén en condiciones de devolverlos.

Todo esto pesará durante mucho tiempo en las arcas públicas.

Y aunque los economistas prevean una reactivación de la actividad a partir del segundo semestre se desconoce cuál será su alcance: el gobernador del Banco de Inglaterra, Andrew Bailey, llamó recientemente a la prudencia y advirtió de que los próximos meses serán difíciles.

Una situación que puede verse agravada cuando el 31 de diciembre termine el periodo del transición posbrexit, lo que implicará la salida efectiva del Reino Unido de la Unión Europea.

El país abandonó oficialmente el bloque el 31 de enero, pero poco ha cambiado de momento, mientras Londres y Bruselas negocian un acuerdo de libre comercio que debe regir su futura relación y de momento se encuentra estancado.

El periodo de transición que expira a finales de año puede ser ampliado hasta 2022, pero el gobierno de Johnson se niega a ello, como dejó oficialmente claro el viernes, reavivando el temor de una ruptura brutal en poco más de seis meses."
6,2020,noticia,negativo,0,.,"Efecto Covid-19: Cotizantes de AFP en abril anotan su mayor baja desde que hay registro
La cifra de cotizantes de abril fue de 5.526.766 personas, lo que significa una baja de 1,2% interanual. La caída es significativa debido a que nunca se había registrado un retroceso mayor a -0,3%.
Debido a la pandemia del Covid-19, el número de cotizantes de abril marcó su mayor baja desde que la Superintendencia de Pensiones lleva el registro, desde el año 2002
De acuerdo al diario La Tercera, la cifra de cotizantes de abril fue de 5.526.766 personas, lo que significa una baja de 1,2% interanual. La caída es significativa debido a que nunca se había registrado un retroceso mayor a -0,3%. Cabe destacar que las cifras de abril corresponden a las cotizaciones pagadas por las remuneraciones de marzo.

Antes del estallido social la tasa de crecimiento era cercana al 3%. Post 18 de octubre, aún se preveía un crecimiento, pero cercano al 1%.

Entre las razones que explican esta caída de cotizantes es la llamada laguna previsional, que son períodos en que las personas que están en edad de trabajar no cotizan para pensión. Esto ocurre, por ejemplo, cuando los afiliados quedan cesantes, algo que está ocurriendo ahora en plena pandemia.

Desde 2002 a la fecha, solo en cuatro oportunidades anteriores existieron caídas de cotizantes al hacer una comparación año contra año.

Para los expertos, la situación se viene peor en los próximos meses: “Estos datos están recién comenzando a mostrar el problema, los meses siguientes lo van a registrar de manera más drástica, lo cual hace que los datos sean aún más preocupantes. Esta situación refleja lo que va a ser este período de crisis, que es una etapa con grandes lagunas previsionales, porque ya hay, según los datos que entregamos en mayo, cerca de 1,9 millones de ocupados menos de lo que había hace 12 meses”, explica el economista y director del Centro de Encuestas y Estudios Longitudinales de la UC, David Bravo, al citado medio."
